ABOX;TBOX;POS;POS_size;POS_density;ABox_size;ABox_load_time;Conflicts_size;Conflicts_time;pi_repair_size;pi_repair_time;pi_repair_total_time;cl-ABox_size;cl-ABox_time;cl_pi_repair_size;cpi_repair++_size;cpi_repair++_time;cpi_repair++_total_time;only cpi-repair
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.2;100;0.2;75671;0.1929998398;116;2.958000183;0;0.3409998417;3.491999865;37088;2.656999826;0;0;2.69299984;204.612;0
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos100_prob_0.2;100;0.2;75678;0.2660000324;537;3.879999876;0;0.9850001335;5.131000042;37116;2.661000013;0;0;6.542999983;200.02;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.3;100;0.3;75671;0.1949999332;134;3.016000032;0;0.2769999504;3.487999916;37088;2.651000023;0;0;2.421000004;197.447;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos100_prob_0.3;100;0.3;75679;0.1860001087;6;3.034999847;0;0.2590000629;3.480000019;37102;2.563999891;0;0;0.2449998856;200.8410001;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos100_prob_0.5;100;0.5;75679;0.2200000286;9;3.767999887;0;0.2980000973;4.286000013;37102;2.833999872;0;0;0.1930000782;212.632;0
University0_p_0.00001.db;lubm-ex-20_disjoint.owl;pos100_prob_0.5;100;0.5;75678;0.2430000305;2;3.44900012;0;0.3429999352;4.035000086;37116;2.872999907;0;0;0.1690001488;211.079;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos100_prob_0.7;100;0.7;75679;0.2139999866;2;3.511000156;0;0.3079998493;4.032999992;37102;2.913000107;0;0;0.1289999485;213.0829999;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos500_prob_0.1;500;0.1;75679;0.373000145;88;6.187000036;0;0.632999897;7.193000078;37102;3.311000109;0;0;6.740999937;218.467;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.3;;;75671;0.315000057220459;119;3.40299987792969;0;0.39900016784668;4.11700010299683;37088;2.83500003814697;0;809;3.33299994468689;236.016999959946;809
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.5;;;75671;0.307999849319458;9;2.87100005149841;0;0.323000192642212;3.50300002098083;37088;3.30900001525879;0;0;0.214999914169312;191.869999885559;0
