ABOX;TBOX;POS;ABox_size;ABox_load_time;Conflicts_size;Conflicts_time;pi_repair_size;pi_repair_time;pi_repair_total_time;cl_ABox_size;cl_ABox_time;all_supports_size;all_supports_time;cpi_repair_size;cpi_repair_time;cpi_repair_total_time;cl-ABox_size;cl-ABox_time;cl_pi_repair_size;cpi_repair++_size;cpi_repair++_time;cpi_repair++_total_time;onlycpi-repair
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos50_pos50_prob_0.7.txt;75671;0.220999956130981;51;3.66400003433228;0;0.384999990463257;4.26999998092651;112759;3.07200002670288;119494;274.857000112534;0;3.85999989509583;285.201999902725;37088;3.04800009727478;0;0;0.395999908447266;202.220999956131;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos50_pos50_prob_0.9.txt;75671;0.267999887466431;1;2.91799998283386;11564;0.297000169754028;3.48300004005432;112759;2.58200001716614;116071;249.601999998093;26185;1.06399989128113;256.116999864578;37088;2.92899990081787;15022;26586;0.073000192642212;124.087000131607;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.3.txt;75671;0.187999963760376;110;2.65199995040894;9094;0.877000093460083;3.71700000762939;112759;1.88100004196167;115223;200.074000120163;21639;21.2969999313354;225.755000114441;37088;2.11299991607666;12817;21911;0.510999917984009;95.7189998626709;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.5.txt;75671;0.167999982833862;2;2.3439998626709;1789;0.424000024795532;2.93599987030029;112759;1.89999985694885;113984;198.009000062943;5210;1.38800001144409;203.625999927521;37088;2.10199999809265;3443;5232;0.177999973297119;127.259999990463;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.7.txt;75671;0.203000068664551;1;2.43400001525879;10729;0.509999990463257;3.1470000743866;112759;1.88699984550476;113482;198.959000110626;24682;1.34200000762939;204.545000076294;37088;2.08200001716614;14357;25086;0.157999992370606;88.9579999446869;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.9.txt;75671;0.190000057220459;6;2.36199998855591;27757;0.47000002861023;3.0220000743866;112759;1.87999987602234;113126;198.12700009346;52411;2.03600001335144;204.52999997139;37088;2.15899991989136;26393;54150;0.13700008392334;60.8110001087189;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos5000_prob_0.3.txt;75671;0.270999908447266;1;2.4539999961853;2771;11.0820000171661;13.8069999217987;112759;2.29000020027161;113087;204.549000024796;7708;13.1579999923706;222.462000131607;37088;2.36299991607666;4967;7738;9.48800015449524;145.656000137329;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos5000_prob_0.5.txt;75671;0.463000059127808;1;2.36500000953674;18098;11.3719999790192;14.2000000476837;112759;2.2960000038147;112896;204.887000083923;37467;13.3650000095367;222.925999879837;37088;2.37700009346008;20243;38341;5.18799996376038;90.5820000171661;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos5000_prob_0.7.txt;75671;0.523000001907349;4;2.48599982261658;6122;11.7070000171661;14.7159998416901;112759;2.21399998664856;112816;204.023000001907;15502;15.8450000286102;224.560000181198;37088;2.31599998474121;9533;15655;5.71600008010864;125.539000034332;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos5000_prob_0.9.txt;75671;0.392999887466431;1;2.45500016212463;8919;11.3339998722076;14.1819999217987;112759;2.29299998283386;112804;204.592000007629;21290;12.625;221.898000001907;37088;2.46199989318848;12638;21557;5.60399985313416;115.207999944687;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos750_prob_0.3.txt;75671;0.20199990272522;83;2.54399991035461;9546;1.30900001525879;4.05499982833862;112759;1.87800002098084;114787;198.833000183105;22411;23.8729999065399;227.158999919891;37088;2.19700002670288;13150;22696;0.488000154495239;95.5730001926422;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos750_prob_0.5.txt;75671;0.20199990272522;121;2.62599992752075;14716;2.03500008583069;4.86299991607666;112759;1.92900013923645;113472;199.440999984741;31932;33.0440001487732;237.024000167847;37088;2.15100002288818;17874;32590;0.316999912261963;83.2450001239777;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos750_prob_0.7.txt;75671;0.171000003814697;1;2.41200017929077;1155;0.680999994277954;3.26400017738342;112759;1.9210000038147;113174;199.421000003815;3459;1.44199991226196;205.085000038147;37088;2.08500003814697;2307;3462;0.276999950408936;132.054000139236;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos750_prob_0.9.txt;75671;0.176000118255615;1;2.36999988555908;1787;0.625999927520752;3.17199993133545;112759;1.89100003242493;112968;200.837000131607;5183;1.48799991607666;206.532999992371;37088;2.18599987030029;3413;5200;0.26800012588501;126.788000106812;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos100_pos100_prob_0.3.txt;75679;0.222999811172485;11;3.5310001373291;0;0.312999963760376;4.06699991226196;112781;2.53500008583069;128477;273.355999946594;869;2.07699990272522;281.341000080109;37102;2.84299993515015;0;869;0.390000104904175;185.542000055313;869
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos750_prob_0.3.txt;75679;0.20199990272522;62;2.6470000743866;5689;0.788000106811523;3.63700008392334;112781;1.93099999427795;114774;198.0640001297;14725;18.055999994278;220.72000002861;37102;2.14699983596802;9136;14845;0.525999784469605;109.732999801636;20
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos100_pos100_prob_0.5.txt;75679;0.296000003814697;8;3.72000002861023;2971;0.302000045776367;4.31800007820129;112781;3.10700011253357;120282;272.758000135422;8308;1.69899988174438;280.950999975204;37102;2.72699999809265;5381;8352;0.230999946594238;162.816999912262;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos100_pos100_prob_0.7.txt;75679;0.279000043869019;1;4.07500004768372;3002;0.473999977111816;4.82800006866455;112781;2.80699992179871;116736;269.31500005722;8354;1.27099990844727;277.138000011444;37102;3.09599995613098;5401;8403;0.111999988555908;156.932999849319;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos100_pos100_prob_0.9.txt;75679;0.309999942779541;2;3.53200006484985;5880;0.391999959945679;4.23399996757507;112781;2.76399993896484;114374;262.130000114441;15012;1.19899988174438;269.845999956131;37102;5.0239999294281;9265;15145;0.089999914169312;167.621999979019;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos1000_prob_0.3.txt;75679;0.180999994277954;5;2.58800005912781;5717;0.801999807357788;3.57099986076355;112781;1.98300004005432;114044;199.59500002861;14703;2.94199991226196;207.050999879837;37102;2.13399982452393;9115;14832;0.467999935150147;107.434000015259;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos1000_prob_0.5.txt;75679;0.205000162124634;5;2.59200000762939;10428;0.881999969482422;3.67900013923645;112781;1.94400000572205;113306;198.335999965668;23970;3.1560001373291;205.945000171661;37102;2.25399994850159;13895;24323;0.437999963760376;95.5620000362396;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos1000_prob_0.7.txt;75679;0.177999973297119;2;2.63899993896484;2706;0.940999984741211;3.75799989700317;112781;1.92599987983704;113075;199.749000072479;7558;1.98199987411499;206.181999921799;37102;2.09600019454956;4895;7601;0.47000002861023;123.164999961853;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos1000_prob_0.9.txt;75679;0.226999998092651;1;2.6029999256134;3340;0.886000156402588;3.71600008010864;112781;1.91900014877319;112976;199.011000156403;9207;1.79699993133545;205.288000106812;37102;2.12099981307983;5914;9254;0.414000034332275;119.457000017166;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos250_pos250_prob_0.3.txt;75679;0.236000061035156;2;2.96799993515015;4203;0.410000085830689;3.61500000953674;112781;2.61399984359741;118388;244.000999927521;11201;1.40499997138977;251.227999925613;37102;2.70699977874756;7072;11275;0.161999940872192;144.135999917984;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos250_pos250_prob_0.5.txt;75679;0.260999917984009;40;3.65499997138977;2458;0.379000186920166;4.29500007629395;112781;2.35599994659424;115681;251.303999900818;6912;7.69900012016296;264.631999969482;37102;2.68799996376038;4485;6943;0.337999820709229;155.738999843597;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos250_pos250_prob_0.7.txt;75679;0.257999897003174;1;3.82300019264221;4186;0.620999813079834;4.70199990272522;112781;3.18499994277954;113987;271.361000061035;11219;1.79299998283386;280.309000015259;37102;4.32200002670288;7119;11305;0.095999956130981;163.451999902725;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos250_pos250_prob_0.9.txt;75679;0.178999900817871;1;7.02799987792969;17403;0.656000137329102;7.86299991607666;112781;3.48600006103516;113500;270.126999855042;36467;0.900000095367431;278.904000043869;37102;2.88599991798401;19902;37305;0.134999990463257;101.069000005722;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos2500_prob_0.3.txt;75679;0.272000074386597;1;2.56900000572205;3512;3.1729998588562;6.01399993896484;112781;1.97500014305115;113507;201.74799990654;9515;4.22099995613098;210.519000053406;37102;2.10500001907349;6061;9573;2.57500004768372;124.84500002861;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos2500_prob_0.5.txt;75679;0.197999954223633;1;2.58500003814697;6867;3.26600003242493;6.04900002479553;112781;2.02999997138977;113045;202.011000156403;17048;4.36199998855591;211.059000015259;37102;2.20599985122681;10364;17231;2.31900000572205;109.493000030518;0
University0_p_0.000006.db;lubm-ex-20_disjoint.owl;pos2500_prob_0.7.txt;75679;0.265000104904175;1;2.58399987220764;14286;3.05900001525879;5.90799999237061;112781;1.94900012016296;112890;201.329999923706;30984;4.43799996376038;210.253999948502;37102;2.18899989128113;17286;31572;2.00399994850159;86.6959998607635;0
