ABOX;TBOX;POS;ABox_size;ABox_load_time;Conflicts_size;Conflicts_time;pi_repair_size;pi_repair_time;pi_repair_total_time;cl_ABox_size;cl_ABox_time;all_supports_size;all_supports_time;cpi_repair_size;cpi_repair_time;cpi_repair_total_time;cl-ABox_size;cl-ABox_time;cl_pi_repair_size;cl_pi_repair_time;supports_time;cpi_repair++_size;cpi_repair++_time;cpi_repair++_total_time;only cpi-repair;cl(π)-repair
university0.5_p_0.00001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.3.txt;9158;0.0309998989105225;15;1.30900001525879;1043;0.160000085830688;1.5;25345;1.63800001144409;25450;27.4349999427795;3517;0.750999927520752;31.0599999427795;16187;1.38499999046326;2474;1.73200011253357;23.1800000667572;3517;0.0959999561309814;27.6289999485016;0;3517
university0.5_p_0.00001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.4.txt;9158;0.0429999828338623;9;1.2189998626709;380;0.151999950408936;1.4139997959137;25345;1.62000012397766;25402;26.6210000514984;1316;0.694999933242798;30.0450000762939;16187;1.60999989509583;936;1.62400007247925;26.4019999504089;1316;0.141000032424927;31.3259999752045;0;1316
university0.5_p_0.00001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.5.txt;9158;0.0340001583099365;2;1.32399988174438;2236;0.182000160217285;1.54000020027161;25345;1.54399991035461;25395;29.5529999732971;7162;0.332000017166138;32.7969999313354;16187;1.35400009155273;4927;2.42199993133545;19.0020000934601;7163;0.169999837875366;24.2590000629425;0;7163
university0.5_p_0.00001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.6.txt;9158;0.0230000019073486;35;1.30299997329712;1649;0.180000066757202;1.50600004196167;25345;1.48000001907349;25373;27.7420001029968;5362;1.55499982833862;31.9979999065399;16187;1.43499994277954;3714;2.18200016021729;22.0079998970032;5363;0.0940001010894775;27.1240000724792;0;5363
university0.5_p_0.00001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.7.txt;9158;0.0350000858306885;9;1.31899976730347;900;0.189000129699707;1.54299998283386;25345;1.5220000743866;25367;28.9519999027252;2957;0.608000040054321;32.2400000095367;16187;1.77699995040894;2057;1.78600001335144;22.1059999465942;2957;0.0910000801086426;27.1310000419617;0;2957
university0.5_p_0.00001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.8.txt;9158;0.0570001602172852;1;1.3439998626709;848;0.163000106811523;1.56400012969971;25345;1.38599991798401;25363;27.3570001125336;2871;0.335000038146973;30.194000005722;16187;1.63499999046326;2023;1.57399988174438;22.7130000591278;2871;0.0690000057220459;27.3550000190735;0;2871
university0.5_p_0.00001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.9.txt;9158;0.0199999809265137;1;1.26099991798401;2007;0.245000123977661;1.52699995040894;25345;1.39499998092651;25360;26.1820001602173;6504;0.366999864578247;29.0249998569489;16187;1.34599995613098;4498;2.65700006484985;18.981999874115;6505;0.0699999332427979;24.5739998817444;0;6505
university0.5_p_0.00005.db;lubm-ex-20_disjoint.owl;pos50_prob_0.1.txt;9193;0.0800001621246338;218;1.40399980545044;0;0.0540001392364502;1.53800010681152;25446;1.38100004196167;29099;26.430999994278;0;1.54400014877319;30.6800000667572;16255;1.49500012397766;0;1.31599998474121;25.9590001106262;0;0.388000011444092;30.5450000762939;0;0
university0.5_p_0.00005.db;lubm-ex-20_disjoint.owl;pos50_prob_0.2.txt;9193;0.0340001583099365;79;1.23799991607666;0;0.0639998912811279;1.33599996566772;25446;1.33100008964539;27282;25.7920000553131;0;0.679999828338623;28.9719998836517;16255;1.43499994277954;0;1.22900009155273;27.8819999694824;0;0.122999906539917;31.8849999904633;0;0
university0.5_p_0.00005.db;lubm-ex-20_disjoint.owl;pos50_prob_0.3.txt;9193;0.0409998893737793;8;1.26800012588501;0;0.057999849319458;1.36699986457825;25446;1.63699984550476;26332;26.2070000171661;0;0.198999881744385;30.9919998645782;16255;1.33800005912781;0;1.27600002288818;27.5240001678467;0;0.0419998168945313;31.4289999008179;0;0
university0.5_p_0.00005.db;lubm-ex-20_disjoint.owl;pos50_prob_0.4.txt;9193;0.0260000228881836;1;1.26500010490417;184;0.0490000247955322;1.34000015258789;25446;1.47200012207031;26067;27.9909999370575;649;0.223000049591064;30.8860001564026;16255;1.78699994087219;465;1.72200012207031;26.6749999523163;649;0.0439999103546143;31.7769999504089;0;649
university0.5_p_0.00005.db;lubm-ex-20_disjoint.owl;pos50_prob_0.5.txt;9193;0.0369999408721924;17;1.19800019264221;372;0.059999942779541;1.29500007629395;25446;1.3899998664856;25866;26.1950001716614;1264;0.352999925613403;29.0699999332428;16255;1.37100005149841;893;1.48899984359741;26.0310001373291;1265;0.0469999313354492;30.2260000705719;0;1265
university0.5_p_0.00005.db;lubm-ex-20_disjoint.owl;pos50_prob_0.6.txt;9193;0.0429999828338623;1;1.37000012397766;342;0.0869998931884766;1.5;25446;1.5;25816;26.2219998836517;1184;0.164999961853027;29.0230000019073;16255;1.41099977493286;842;1.75900006294251;24.8899998664856;1184;0.0350000858306885;29.4869999885559;0;1184
university0.5_p_0.00005.db;lubm-ex-20_disjoint.owl;pos50_prob_0.7.txt;9193;0.0460000038146973;4;1.27600002288818;160;0.0569999217987061;1.37899994850159;25446;1.33899998664856;25678;26.242999792099;551;0.194000005722046;28.9269998073578;16255;1.35800004005432;391;1.35999989509583;24.8450000286102;551;0.0469999313354492;28.8239998817444;0;551
university0.5_p_0.00005.db;lubm-ex-20_disjoint.owl;pos50_prob_0.8.txt;9193;0.0269999504089355;13;1.16599988937378;551;0.0970001220703125;1.28999996185303;25446;1.42400002479553;25613;26.6800000667572;1884;0.227999925613403;29.4719998836517;16255;1.47299981117249;1333;1.53099989891052;25.1319999694824;1884;0.0400002002716064;29.4710001945496;0;1884
university0.5_p_0.00005.db;lubm-ex-20_disjoint.owl;pos50_prob_0.9.txt;9193;0.0309998989105225;5;1.29400014877319;364;0.0529999732971191;1.37800002098084;25446;1.47899985313416;25533;27.1480000019073;1274;0.216000080108643;30.0429999828339;16255;1.43899989128113;910;1.46199989318848;24.2829999923706;1274;0.0299999713897705;28.4619998931885;0;1274
university0.5_p_0.00005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.1.txt;9193;0.0379998683929443;62;1.29200005531311;0;0.0969998836517334;1.42699980735779;25446;1.35599994659424;27293;26.4300000667572;0;0.770999908447266;29.7599999904633;16255;1.41899991035461;0;1.26200008392334;25.5770001411438;0;0.202999830245972;29.7109999656677;0;0
university0.5_p_0.00005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.2.txt;9193;0.0439999103546143;76;1.27900004386902;0;0.114000082015991;1.43700003623962;25446;1.35799980163574;26510;26.5429999828339;0;1.12400007247925;30.1729998588562;16255;1.39800000190735;0;1.26799988746643;25.9520001411438;0;0.128999948501587;30.0640001296997;0;0
