ABOX;TBOX;POS;ABox_size;ABox_load_time;Conflicts_size;Conflicts_time;pi_repair_size;pi_repair_time;pi_repair_total_time;cl_ABox_size;cl_ABox_time;all_supports_size;all_supports_time;cpi_repair_size;cpi_repair_time;cpi_repair_total_time;cl-ABox_size;cl-ABox_time;cl_pi_repair_size;cl_pi_repair_time;supports_time;cpi_repair++_size;cpi_repair++_time;cpi_repair++_total_time;only cpi-repair
university0.5_p_0.0005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.1;9228;0.0239999294281006;92;1.29400014877319;0;0.064000129699707;1.38300013542175;25527;1.33099985122681;27507;25.2200000286102;0;1.02699995040894;28.8039999008179;16301;1.53600001335144;0;1.21900010108948;24.7509999275208;0;0.203000068664551;28.9850001335144;0
university0.5_p_0.0005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.2;9228;0.0410001277923584;33;1.27199983596802;0;0.0630002021789551;1.37600016593933;25527;1.32699990272522;26547;25.194000005722;0;0.530999898910522;28.3229999542236;16301;1.40799999237061;0;1.34200000762939;24.7590000629425;0;0.0959999561309814;28.8600001335144;0
university0.5_p_0.0005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.3;9228;0.0319998264312744;32;1.25300002098084;0;0.0600001811981201;1.34500002861023;25527;1.3439998626709;26124;25.5030000209808;0;0.485999822616577;28.5549998283386;16301;1.38299989700317;0;1.28900003433228;25.3229999542236;0;0.0750000476837158;29.3289999961853;0
university0.5_p_0.0005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.4;9228;0.0239999294281006;6;1.20900011062622;103;0.0899999141693115;1.32299995422363;25527;1.44700002670288;25867;25.1790001392364;360;0.325000047683716;28.0960001945496;16301;1.44000005722046;257;1.33699989318848;23.989000082016;360;0.0429999828338623;28.1330001354218;0
university0.5_p_0.0005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.5;9228;0.0390000343322754;25;1.25;106;0.067000150680542;1.35600018501282;25527;1.40799999237061;25745;25.3480000495911;379;0.430999994277954;28.4670000076294;16301;1.41900014877319;273;1.38700008392334;24.1099998950958;379;0.0850000381469727;28.3619999885559;0
university0.5_p_0.0005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.6;9228;0.0299999713897705;16;1.23300004005432;103;0.062999963760376;1.32599997520447;25527;1.24300003051758;25670;25.7449998855591;374;0.350000143051147;28.5020000934601;16301;1.44299983978271;271;1.33700013160706;26.1989998817444;374;0.0450000762939453;30.3250000476837;0
university0.5_p_0.0005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.7;9228;0.0409998893737793;1;1.32299995422363;0;0.0659999847412109;1.42999982833862;25527;1.48300004005432;25666;29.2269999980927;0;0.166999816894531;32.1819999217987;16301;1.47000002861023;0;1.32000017166138;29.7039999961853;0;0.0429999828338623;33.8910000324249;0
university0.5_p_0.0005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.8;9228;0.0349998474121094;5;1.49900007247925;89;0.0769999027252197;1.61099982261658;25527;1.51900005340576;25630;29.0079998970032;316;0.19100022315979;32.018000125885;16301;1.41499996185303;227;1.29700016975403;27.0419998168945;316;0.0450000762939453;31.1289999485016;0
university0.5_p_0.0005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.9;9228;0.0190000534057617;2;1.29800009727478;87;0.0709998607635498;1.38800001144409;25527;1.32200002670288;25588;27.3849999904633;318;0.164000034332275;30.0650000572205;16301;1.40199995040894;231;1.32299995422363;25.9100000858307;318;0.0409998893737793;30.0269999504089;0
university0.5_p_0.0005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.1;9228;0.0280001163482666;47;1.32999992370605;0;0.145999908447266;1.50399994850159;25527;1.35199999809265;26155;26.3469998836517;0;2.16899991035461;31.2189998626709;16301;1.39800000190735;0;1.23800015449524;26.4279999732971;0;0.227999925613403;30.7820000648499;0
